id,datetime,visitor_id,device_type,revenue,tax,id,device_name
1,2019-10-05 00:00:00,1016870803637,1,119.29610220644891,0.19,1,Desktop
2,2019-10-11 00:00:00,48076008851343,4,195.0776215625295,0.07,4,Unknown
3,2019-08-19 00:00:00,72300317870324,2,336.5230147253149,0.07,2,Tablet
4,2019-10-14 00:00:00,84516511452821,3,401.0844955275741,0.19,3,Mobile Phone
5,2019-09-10 00:00:00,44780848857001,3,453.90410519145394,0.07,3,Mobile Phone
6,2019-09-20 00:00:00,54145933160851,2,40.35860547070505,0.07,2,Tablet
7,2019-10-13 00:00:00,68564288760762,4,512.0134481572289,0.19,4,Unknown
8,2019-10-22 00:00:00,74593067572606,2,110.87399931326011,0.07,2,Tablet
9,2019-08-12 00:00:00,74912374801029,4,549.4618849305484,0.07,4,Unknown
10,2019-10-25 00:00:00,67206600864292,4,19.492636256139374,0.07,4,Unknown
11,2019-10-28 00:00:00,72257448527137,4,223.57341633958487,0.19,4,Unknown
12,2019-08-16 00:00:00,31161783828987,2,593.8913446688224,0.07,2,Tablet
13,2019-09-21 00:00:00,74019332491246,3,116.49353520760195,0.07,3,Mobile Phone
14,2019-10-19 00:00:00,97387717610795,4,441.1214084220436,0.07,4,Unknown
15,2019-09-03 00:00:00,45101854301536,4,177.91426488399762,0.19,4,Unknown
16,2019-08-07 00:00:00,39618162285184,4,113.32980996793933,0.19,4,Unknown
17,2019-09-22 00:00:00,79503222532643,3,262.04741924104104,0.07,3,Mobile Phone
18,2019-11-01 00:00:00,47711898936813,4,607.2853872212339,0.07,4,Unknown
19,2019-10-27 00:00:00,27411965646696,3,153.64248377511558,0.07,3,Mobile Phone
20,2019-09-14 00:00:00,79047396341564,3,456.65824655043895,0.19,3,Mobile Phone
21,2019-10-19 00:00:00,11315178096070,3,294.8445554946464,0.19,3,Mobile Phone
22,2019-10-16 00:00:00,24012466194495,1,182.53766757342015,0.19,1,Desktop
23,2019-09-19 00:00:00,17029684917498,1,427.34680676221006,0.07,1,Desktop
24,2019-09-14 00:00:00,59005300724987,2,12.437937889019928,0.19,2,Tablet
25,2019-10-23 00:00:00,96729202710375,2,271.3558847743962,0.07,2,Tablet
26,2019-09-18 00:00:00,13585562094666,2,436.7301116855344,0.07,2,Tablet
27,2019-09-07 00:00:00,51653737316798,2,435.12359573307106,0.07,2,Tablet
28,2019-09-26 00:00:00,6224970231388,3,533.9624667005676,0.19,3,Mobile Phone
29,2019-09-06 00:00:00,86017690185412,2,515.1728128302904,0.19,2,Tablet
30,2019-09-05 00:00:00,30526682294845,2,83.32381996123024,0.07,2,Tablet
31,2019-10-10 00:00:00,52164460431246,2,493.80497525785984,0.07,2,Tablet
32,2019-09-12 00:00:00,2086917030708,1,359.5956535149603,0.19,1,Desktop
33,2019-10-13 00:00:00,55711069540774,2,305.51344963995916,0.07,2,Tablet
34,2019-08-07 00:00:00,69512920708889,4,102.49257498427781,0.19,4,Unknown
35,2019-09-22 00:00:00,81079023380836,2,240.37997744006447,0.07,2,Tablet
36,2019-10-15 00:00:00,43129968770844,2,615.8709508255143,0.19,2,Tablet
37,2019-10-09 00:00:00,3979029989679,3,331.0112723484937,0.07,3,Mobile Phone
38,2019-08-11 00:00:00,25662618227295,2,272.57185994385924,0.07,2,Tablet
39,2019-10-02 00:00:00,84878295639931,2,652.8308465454045,0.07,2,Tablet
40,2019-08-13 00:00:00,96481967263931,3,300.44749660674523,0.07,3,Mobile Phone
41,2019-09-01 00:00:00,5912788198719,1,5.159177339339682,0.19,1,Desktop
42,2019-08-14 00:00:00,56713558605689,4,482.2883953829303,0.19,4,Unknown
43,2019-08-11 00:00:00,32541817151812,1,336.5394908823005,0.07,1,Desktop
44,2019-11-01 00:00:00,15363719371717,4,297.9179999522107,0.19,4,Unknown
45,2019-09-14 00:00:00,47447038460279,1,655.7123809551344,0.07,1,Desktop
46,2019-09-07 00:00:00,98093108644448,4,383.449737008008,0.07,4,Unknown
47,2019-08-19 00:00:00,60505299592873,4,601.1935932563912,0.19,4,Unknown
48,2019-09-22 00:00:00,18151304632325,4,952.801291865284,0.07,4,Unknown
49,2019-10-31 00:00:00,49179450419439,2,384.9708963639211,0.07,2,Tablet
50,2019-08-30 00:00:00,98117926509986,1,398.1531363214768,0.19,1,Desktop
51,2019-09-17 00:00:00,65247762491065,3,600.8608801117076,0.19,3,Mobile Phone
52,2019-08-12 00:00:00,54278578539092,3,253.07571269207764,0.19,3,Mobile Phone
53,2019-08-12 00:00:00,4174132061868,3,32.17116268527082,0.19,3,Mobile Phone
54,2019-09-07 00:00:00,39041927718356,4,302.6549118343392,0.07,4,Unknown
55,2019-08-23 00:00:00,49834338770012,4,151.89955328325175,0.07,4,Unknown
56,2019-08-06 00:00:00,83705422749370,3,148.13630800096973,0.07,3,Mobile Phone
57,2019-10-20 00:00:00,97378615648630,2,427.2664113942567,0.19,2,Tablet
58,2019-10-12 00:00:00,51770556649116,1,358.661690126466,0.19,1,Desktop
59,2019-10-22 00:00:00,62376855740939,1,359.8464522795766,0.19,1,Desktop
60,2019-10-31 00:00:00,63263969223132,1,565.0184429497797,0.19,1,Desktop
61,2019-10-11 00:00:00,15844317367520,3,586.8384706886541,0.19,3,Mobile Phone
62,2019-09-06 00:00:00,96183215176895,2,177.7878838546529,0.07,2,Tablet
63,2019-09-12 00:00:00,41359763290548,4,532.3927097370511,0.19,4,Unknown
64,2019-10-23 00:00:00,26405162744862,1,272.7336824611294,0.19,1,Desktop
65,2019-10-16 00:00:00,70337502894181,4,491.587103281634,0.07,4,Unknown
66,2019-10-21 00:00:00,41216233649883,2,473.9081957526714,0.19,2,Tablet
67,2019-08-23 00:00:00,4876869989137,1,66.34108574255457,0.19,1,Desktop
68,2019-11-02 00:00:00,17420819132113,2,519.3651345294523,0.19,2,Tablet
69,2019-09-16 00:00:00,71533889310724,1,412.1477302058786,0.07,1,Desktop
70,2019-09-21 00:00:00,69063018278676,2,513.1979971554236,0.07,2,Tablet
71,2019-08-06 00:00:00,26405162744862,3,387.53186210366687,0.19,3,Mobile Phone
72,2019-09-29 00:00:00,72306775690261,1,306.82559181411983,0.07,1,Desktop
73,2019-10-01 00:00:00,55748762270042,2,70.65639585570935,0.07,2,Tablet
74,2019-08-19 00:00:00,55129633864856,4,632.5548068767761,0.19,4,Unknown
75,2019-08-27 00:00:00,71555221033864,3,345.4044411774868,0.19,3,Mobile Phone
76,2019-10-30 00:00:00,5371803120594,3,59.2039608722507,0.19,3,Mobile Phone
77,2019-10-08 00:00:00,89169928347381,4,366.559634760079,0.07,4,Unknown
78,2019-09-09 00:00:00,98338420914387,2,291.91900183505834,0.07,2,Tablet
79,2019-10-22 00:00:00,62306243600469,2,115.52771369518987,0.07,2,Tablet
80,2019-10-26 00:00:00,20627283282981,4,37.29976097429955,0.07,4,Unknown
81,2019-08-07 00:00:00,52720509537266,3,459.85221323770054,0.07,3,Mobile Phone
82,2019-10-08 00:00:00,18631966576892,1,121.55355527839865,0.07,1,Desktop
83,2019-08-11 00:00:00,83816064792318,4,427.9683361014726,0.07,4,Unknown
84,2019-09-25 00:00:00,51299022059247,4,219.709053181849,0.07,4,Unknown
85,2019-09-23 00:00:00,90406081566701,1,293.1001266102316,0.07,1,Desktop
86,2019-10-18 00:00:00,65998840166045,2,600.2539959115003,0.07,2,Tablet
87,2019-10-04 00:00:00,64865075758500,3,222.85930435415108,0.19,3,Mobile Phone
88,2019-09-08 00:00:00,71971062719432,3,230.16753574597715,0.19,3,Mobile Phone
89,2019-09-16 00:00:00,47093250236633,4,130.54135489842838,0.07,4,Unknown
90,2019-09-12 00:00:00,80898667393819,3,514.0331585572117,0.07,3,Mobile Phone
91,2019-09-03 00:00:00,22505388009858,1,6.869923847084712,0.07,1,Desktop
92,2019-10-04 00:00:00,38716489905123,1,18.17540114539262,0.07,1,Desktop
93,2019-10-18 00:00:00,53802011890484,1,211.038111707972,0.07,1,Desktop
94,2019-09-30 00:00:00,21908695782659,2,375.42347320802924,0.19,2,Tablet
95,2019-10-08 00:00:00,90056560307925,4,581.7972247964584,0.19,4,Unknown
96,2019-08-14 00:00:00,53508804122862,4,494.51694878567315,0.19,4,Unknown
97,2019-10-03 00:00:00,16049318864052,2,275.14112777554305,0.19,2,Tablet
98,2019-09-11 00:00:00,57304043501325,2,601.1557634847447,0.19,2,Tablet
99,2019-10-18 00:00:00,48585243503879,1,130.34058609033877,0.19,1,Desktop
100,2019-08-15 00:00:00,91535585891862,2,108.63291747543863,0.19,2,Tablet
101,2019-10-01 00:00:00,9281408126544,1,312.20970160061887,0.07,1,Desktop
